filename,fold
1161364/iNat1216197.ogg,1
1161364/iNat1114648.ogg,1
1161364/iNat810195.ogg,1
1161364/iNat818781.ogg,1
1161364/iNat556514.ogg,1
1161364/iNat868369.ogg,4
1161364/iNat842139.ogg,2
1161364/iNat840159.ogg,2
1161364/iNat1264238.ogg,1
1161364/iNat869958.ogg,0
1161364/iNat547199.ogg,2
116570/iNat1460166.ogg,4
1176823/iNat936019.ogg,4
1176823/iNat1708543.ogg,2
1176823/iNat389418.ogg,3
1176823/iNat188986.ogg,0
1176823/iNat145706.ogg,0
1176823/iNat1641731.ogg,1
1176823/iNat845830.ogg,1
1176823/iNat730318.ogg,2
1176823/iNat730319.ogg,2
1176823/iNat1269019.ogg,3
1176823/iNat819936.ogg,1
1176823/iNat829107.ogg,4
1595929/iNat1308166.ogg,4
1595929/iNat1679888.ogg,4
1595929/iNat1242532.ogg,3
1595929/iNat1242529.ogg,3
1595929/XC999239.ogg,2
209233/iNat1545859.ogg,3
209233/iNat864998.ogg,0
22930/iNat897105.ogg,4
22930/iNat317238.ogg,0
22930/iNat910967.ogg,4
22930/iNat1248662.ogg,0
22930/XC940773.ogg,3
22930/iNat330099.ogg,3
22956/iNat1301818.ogg,1
22956/iNat1284850.ogg,1
22956/iNat1693371.ogg,2
22956/iNat1702693.ogg,2
22956/iNat1300149.ogg,0
22956/iNat1298529.ogg,0
22956/iNat1261831.ogg,1
22956/iNat1693794.ogg,4
22956/iNat972765.ogg,4
22956/iNat60929.ogg,0
22956/iNat1701222.ogg,4
22956/iNat1711085.ogg,0
22956/iNat879304.ogg,1
22956/iNat182971.ogg,2
22956/XC900618.ogg,1
22956/iNat886570.ogg,2
22956/iNat1257825.ogg,3
22956/iNat854298.ogg,0
22956/iNat1705476.ogg,3
22956/iNat1637913.ogg,4
22956/iNat1307619.ogg,4
22956/iNat1723893.ogg,4
22956/iNat1307645.ogg,4
22956/iNat1245289.ogg,4
22956/iNat1282546.ogg,4
22956/iNat1282547.ogg,4
22956/iNat859870.ogg,3
22956/iNat859871.ogg,3
22956/iNat327340.ogg,3
22956/iNat328497.ogg,3
22956/iNat330827.ogg,3
22956/iNat804970.ogg,2
22961/iNat846512.ogg,4
22961/iNat1662496.ogg,4
22961/iNat1657948.ogg,2
22961/iNat839121.ogg,4
22961/XC1062603.ogg,3
22961/iNat512578.ogg,4
22967/iNat56387.ogg,1
22967/iNat321313.ogg,4
22967/iNat1697350.ogg,4
22967/iNat1448422.ogg,3
22967/iNat1698104.ogg,0
22967/iNat1698107.ogg,0
22967/iNat1698105.ogg,0
22967/iNat911059.ogg,4
22973/iNat28425.ogg,3
22973/iNat326860.ogg,3
22973/iNat326854.ogg,3
22973/iNat330457.ogg,4
22973/iNat326966.ogg,3
22973/iNat1257589.ogg,1
22973/iNat1257590.ogg,1
22973/iNat839779.ogg,3
22973/iNat1267679.ogg,3
22973/iNat887040.ogg,1
22973/iNat887102.ogg,1
22973/iNat348132.ogg,1
22973/iNat581610.ogg,1
22973/iNat348440.ogg,1
22973/iNat348441.ogg,1
22973/iNat583590.ogg,3
22973/iNat583591.ogg,3
22973/iNat870999.ogg,1
22973/iNat599374.ogg,4
22973/iNat599375.ogg,4
22973/iNat154035.ogg,4
22973/iNat1299089.ogg,0
22973/iNat157085.ogg,4
22973/iNat576552.ogg,4
22973/iNat879832.ogg,2
22973/iNat879833.ogg,2
22973/XC1062605.ogg,3
22973/iNat859872.ogg,3
22973/iNat1243033.ogg,2
22973/iNat1243080.ogg,2
22973/iNat1677772.ogg,3
22973/iNat331404.ogg,3
22973/iNat1675887.ogg,4
22973/XC1065541.ogg,3
22973/iNat1698103.ogg,0
22973/iNat58920.ogg,0
22973/iNat343840.ogg,3
22973/iNat556448.ogg,0
22973/XC167037.ogg,4
22973/XC915924.ogg,0
22973/iNat630711.ogg,0
22973/iNat992788.ogg,3
22973/iNat1431353.ogg,2
22973/iNat1320384.ogg,1
22973/iNat781822.ogg,1
22973/iNat1353836.ogg,1
22973/iNat502463.ogg,3
22973/XC929100.ogg,1
22973/XC929101.ogg,1
22973/XC928991.ogg,1
22973/iNat327135.ogg,4
22973/iNat1251026.ogg,3
22973/iNat1460521.ogg,4
22973/iNat318716.ogg,4
22973/iNat1645288.ogg,0
22973/XC892932.ogg,2
22973/iNat28982.ogg,2
22973/iNat218912.ogg,1
22973/iNat287261.ogg,1
22973/iNat1099468.ogg,4
22973/iNat726873.ogg,1
22973/XC892927.ogg,2
22973/iNat29017.ogg,2
22983/iNat347848.ogg,1
22983/iNat347849.ogg,1
22983/iNat1212830.ogg,2
22983/iNat830655.ogg,2
22983/iNat193774.ogg,4
22983/iNat551114.ogg,4
22983/iNat551115.ogg,4
22983/iNat1243038.ogg,2
22983/iNat1243068.ogg,2
22983/iNat585817.ogg,3
22985/iNat51963.ogg,4
22985/XC929102.ogg,1
22985/iNat1421747.ogg,0
22985/iNat989398.ogg,4
22985/iNat992409.ogg,4
22985/iNat1560301.ogg,2
23150/iNat1243039.ogg,2
23154/iNat567443.ogg,1
23154/iNat569351.ogg,0
23154/iNat1475114.ogg,3
23154/iNat1301738.ogg,3
23154/iNat1553517.ogg,3
23158/iNat1316143.ogg,1
23158/XC926454.ogg,2
23158/iNat1303872.ogg,1
23158/iNat1261183.ogg,1
23158/iNat1263350.ogg,3
23158/XC900620.ogg,1
23158/iNat127451.ogg,1
23158/iNat26878.ogg,2
23158/iNat1322093.ogg,0
23158/iNat162196.ogg,3
23158/iNat43914.ogg,0
23158/iNat1324914.ogg,2
23158/iNat325681.ogg,4
23158/iNat325682.ogg,4
23158/iNat325667.ogg,4
23158/iNat847906.ogg,4
23158/iNat320941.ogg,4
23158/iNat1727252.ogg,2
23158/iNat1714979.ogg,1
23158/iNat1657967.ogg,2
23158/iNat47151.ogg,3
23158/iNat910949.ogg,4
23158/iNat161255.ogg,3
23158/iNat368088.ogg,1
23158/XC1064073.ogg,3
23176/iNat1099971.ogg,0
23176/XC929082.ogg,1
23176/iNat855633.ogg,0
23176/iNat1293885.ogg,2
23724/iNat249321.ogg,2
24279/iNat845210.ogg,4
24279/iNat164735.ogg,4
24279/iNat164736.ogg,4
24279/iNat340127.ogg,4
24279/iNat339926.ogg,3
24279/iNat144573.ogg,4
24279/iNat1315011.ogg,1
24279/iNat205140.ogg,3
24279/iNat580378.ogg,0
24279/iNat1663766.ogg,0
24279/iNat1271483.ogg,1
24279/iNat1258487.ogg,1
24279/iNat1264632.ogg,4
24279/iNat1306335.ogg,1
24279/iNat87609.ogg,3
24279/iNat901847.ogg,2
24279/iNat125223.ogg,1
24279/iNat1699392.ogg,2
24279/iNat335351.ogg,0
24279/iNat163941.ogg,0
24279/iNat56193.ogg,0
24279/iNat139913.ogg,3
24279/iNat322021.ogg,3
24279/iNat57810.ogg,2
24279/iNat592632.ogg,3
24279/iNat372693.ogg,2
24279/iNat859126.ogg,2
24279/iNat1366909.ogg,4
24279/iNat1637974.ogg,4
24279/iNat1346600.ogg,4
24279/iNat1346601.ogg,4
24279/iNat1243256.ogg,3
24279/iNat1243257.ogg,3
24279/iNat1291381.ogg,4
24279/iNat1274660.ogg,3
24279/iNat28427.ogg,3
24279/iNat350835.ogg,3
24279/iNat871017.ogg,3
24279/iNat1309643.ogg,3
24279/iNat903481.ogg,3
24279/iNat1229050.ogg,3
24279/XC1039628.ogg,2
24279/XC1039627.ogg,2
24279/XC1039625.ogg,2
24279/iNat186161.ogg,4
24279/iNat1435402.ogg,1
24285/iNat27560.ogg,3
24285/iNat1277043.ogg,4
24285/iNat1613381.ogg,4
24285/XC1063445.ogg,0
24285/iNat1729440.ogg,4
24285/iNat1208638.ogg,2
24285/iNat1662493.ogg,4
24285/iNat1662494.ogg,4
24285/iNat1662501.ogg,4
24285/XC1004236.ogg,3
24285/iNat347850.ogg,1
24285/iNat583587.ogg,3
24285/iNat583588.ogg,3
24285/iNat583484.ogg,1
24285/iNat583815.ogg,3
24285/iNat586169.ogg,3
24285/iNat586170.ogg,3
24285/iNat550813.ogg,4
24285/iNat158068.ogg,1
24287/iNat347569.ogg,1
24287/XC972398.ogg,0
24287/XC972399.ogg,0
24287/iNat328766.ogg,4
24287/iNat574406.ogg,4
24287/iNat1253061.ogg,0
24287/iNat1243016.ogg,2
24287/XC929112.ogg,1
24287/iNat855637.ogg,0
24287/XC928990.ogg,1
24287/iNat1044844.ogg,2
24321/iNat1657916.ogg,2
24321/iNat251887.ogg,2
244024/iNat269695.ogg,4
244024/iNat55191.ogg,4
244024/iNat1273075.ogg,1
244024/iNat1272883.ogg,4
244024/iNat571275.ogg,3
244024/iNat1265454.ogg,3
244024/iNat1265455.ogg,3
244024/iNat1265530.ogg,2
244024/iNat150545.ogg,0
244024/iNat858495.ogg,0
244024/iNat858494.ogg,0
244024/iNat144585.ogg,0
244024/iNat858493.ogg,0
244024/iNat564212.ogg,4
244024/iNat564213.ogg,4
244024/iNat836446.ogg,1
244024/iNat826149.ogg,0
244024/iNat816192.ogg,4
244024/iNat546950.ogg,2
244024/iNat553405.ogg,4
244024/iNat48471.ogg,4
244024/iNat54510.ogg,1
